"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.129","0.0117","26","28","5","1937","796","19","26804"
"1203","Chibanian","0.774","0.129","12","8","1","1953","659","11","25529"
"740","Calabrian","1.8","0.774","12","13","2","1949","763","12","49239"
"741","Gelasian","2.58","1.8","17","5","0","1945","503","9","10895"
"96","Piacenzian","3.6","2.58","16","14","2","1934","769","14","31196"
"97","Zanclean","5.333","3.6","37","23","6","1911","1006","17","57614"
"98","Messinian","7.246","5.333","22","28","16","1912","767","20","18456"
"99","Tortonian","11.63","7.246","49","49","10","1891","1075","22","50953"
"100","Serravallian","13.82","11.63","49","38","28","1891","1101","39","32688"
"101","Langhian","15.98","13.82","9","13","3","1920","651","7","7709"
"102","Burdigalian","20.45","15.98","120","39","20","1813","1168","36","39755"
"103","Aquitanian","23.04","20.45","27","8","3","1825","548","13","7420"
"104","Chattian","27.3","23.04","69","31","18","1764","839","39","19045"
"105","Rupelian","33.9","27.3","93","42","30","1702","1002","44","26271"
"106","Priabonian","37.71","33.9","77","79","47","1667","1070","45","20202"
"107","Bartonian","41.03","37.71","46","31","11","1700","788","27","21830"
"108","Lutetian","48.07","41.03","114","42","26","1617","1010","33","26706"
"109","Ypresian","56","48.07","256","47","116","1403","1168","59","22421"
"110","Thanetian","59.24","56","44","15","10","1406","563","33","9393"
"743","Selandian","61.66","59.24","20","9","5","1401","364","9","3546"
"111","Danian","66","61.66","90","32","4","1320","714","38","15882"
"112","Maastrichtian","72.2","66","67","135","28","1285","927","58","43695"
"113","Campanian","83.6","72.2","142","85","37","1278","1026","53","26581"
"114","Santonian","85.7","83.6","36","32","5","1327","567","28","7205"
"115","Coniacian","89.8","85.7","16","16","2","1343","449","23","5227"
"116","Turonian","93.9","89.8","63","56","47","1296","726","40","12790"
"117","Cenomanian","100.5","93.9","130","78","61","1222","913","54","21734"
"118","Albian","113.2","100.5","123","57","16","1177","839","52","18300"
"119","Aptian","121.4","113.2","116","38","15","1118","701","43","12262"
"120","Barremian","125.77","121.4","43","30","9","1113","496","37","6487"
"121","Hauterivian","132.6","125.77","52","36","9","1091","498","35","7963"
"122","Valanginian","137.05","132.6","34","21","0","1093","434","22","9690"
"123","Berriasian","143.1","137.05","56","43","23","1058","469","40","8100"
"124","Tithonian","149.2","143.1","63","60","33","1038","645","43","16056"
"125","Kimmeridgian","154.8","149.2","67","22","16","1031","606","45","11092"
"126","Oxfordian","161.5","154.8","67","28","9","986","553","33","16655"
"127","Callovian","165.3","161.5","47","26","7","967","467","27","13432"
"128","Bathonian","168.2","165.3","76","19","15","917","497","38","10283"
"129","Bajocian","170.9","168.2","52","16","5","884","389","15","8351"
"130","Aalenian","174.7","170.9","25","5","0","875","298","15","5972"
"131","Toarcian","184.2","174.7","71","54","35","809","495","31","22016"
"132","Pliensbachian","192.9","184.2","55","26","7","808","423","23","22921"
